"id","pole_code","latitude","longitude","city","district","neighborhood","street","sequence_no","pole_type","direction_type","arm_type","status"
"6ecb82f2-06ba-4ebc-992c-843c3f6b47e2","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0005","40.301634","36.555034","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","5","NORMAL","TEK_YONLU","L","AVAILABLE"
"70c8fd08-cf8d-4397-9fa4-1b84a2246e40","TOKAT-MAHMUTPASA-0001","40.303677","36.554408","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Mahmutpaşa Civari","1","NORMAL","TEK_YONLU","T","AVAILABLE"
"710effb3-2c64-48ef-b8c8-8c035f44d2f7","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0010","40.299997","36.55477","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","10","NORMAL","TEK_YONLU","L","AVAILABLE"
"7529e008-662a-4459-b9d1-1e0bd7778772","TOKAT-KEMER-BEHZAT-BULVARI-0008","40.293083","36.552841","Tokat","Kemer Mahallesi","Kemer","Behzat Bulvarı","8","NORMAL","TEK_YONLU","L","AVAILABLE"
"7652f28c-a2fe-4fd0-9610-f9f7cf370b59","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0015","40.298733","36.554175","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","15","NORMAL","TEK_YONLU","L","AVAILABLE"
"7df83243-0c4a-4b71-97c1-67b13a12596d","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0028","40.299963","36.555156","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","28","NORMAL","TEK_YONLU","L","AVAILABLE"
"7fbda877-c939-4666-b414-29d4eb5d2e83","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0022","40.298538","36.554433","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","22","NORMAL","TEK_YONLU","L","AVAILABLE"
"84130378-b714-417b-bc27-b1bf6b5c6a5a","TOKAT-KEMER-BEHZAT-BULVARI-0003","40.291479","36.550862","Tokat","Kemer Mahallesi","Kemer","Behzat Bulvarı","3","NORMAL","TEK_YONLU","L","AVAILABLE"
"8ede2b03-fd0a-4720-89fb-5f8dfa7f07e1","TOKAT-PERAKENDE-0005","40.295385","36.552863","Tokat","Perakende Mahallesi","Perakende","Perakende Civari","5","NORMAL","TEK_YONLU","L","AVAILABLE"
"8f35f152-7f63-4991-a116-86b248f4306b","TOKAT-PERAKENDE-0007","40.295968","36.553113","Tokat","Perakende Mahallesi","Perakende","Perakende Civari","7","NORMAL","TEK_YONLU","L","AVAILABLE"
